ticker,name,etf,test,price,ret_5,ret_20,ret_60,ret_120,drawdown_52,off_low_52,ma20,ma50,vol_ratio,dollar_volume,volatility,retrieved_at,market_cap,avg_volume,revenue_growth,earnings_growth,earnings_q_growth,forward_pe,target_upside,recommendation,sector,industry,sector_rs_60,industry_rs_60,spy_rs_20,spy_rs_60,spy_rs_120,leadership_momentum,leadership_coverage,beaten_down_reversal,reversal_coverage,acceleration_emerging_momentum,acceleration_coverage,data_confidence,best_lens,lens_winner,lens_data_missing,risk_score,final_quant_score,biotech_review,crypto_proxy_review,special_risk_review,current_verification_required,catalyst_status,estimate_revision_status,guidance_status,dilution_financing_status,binary_risk_status
AYA,Aya Gold & Silver Inc. - Common Shares,N,N,28.145000457763672,0.013503780836098711,0.12265659355290293,0.6073672238644494,0.657538351974353,-0.03909185462526499,2.0427027521906673,0.03610444860606421,0.23958935194516995,1.5361490980199164,27735248.641298294,0.8019454025423743,2026-09-02T13:50:39.418680+00:00,4033732608.0,729812.0,1.507,2.833,2.92,12.176086,,,Basic Materials,Silver,0.5373615911829817,0.2553771819324333,0.13245144441166,0.5735561910206144,0.5070401502173811,88.5582102453717,0.93,75.5989723101513,0.9600000000000002,77.86860746248531,0.96,0.8865000000000001,88.5582102453717,leadership_momentum,False,55.57289936898041,87.14570508510927,False,False,False,True,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED
SLS,"SELLAS Life Sciences Group, Inc.  - Common Stock",N,N,13.5649995803833,-0.012017477593167625,0.14376053735769978,0.6998746300702714,1.6968188895761789,-0.12257441481810016,8.758992604307057,0.034647108097520585,0.07434478579695236,0.9699084964586535,91955939.01408358,1.1627806472872717,2026-09-02T14:01:27.165265+00:00,2733335296.0,8343534.0,,,,-135.34999,1.4011821204285186,1.5,Healthcare,Biotechnology,0.486424396611282,0.42977518949029947,0.15355538821645687,0.6660635972264364,1.546320687819207,90.44806061516407,0.68,77.52512481996094,0.7000000000000002,71.99731483676088,0.6400000000000001,0.6737500000000001,90.44806061516407,leadership_momentum,False,56.88641647293258,86.9505254776862,True,False,True,True,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED
REAX,Real REMAX Group Inc. - Common Stock,N,N,17.954999923706055,-0.3247461519116023,9.318965416837202,9.68750028826652,6.481249670932703,-0.3247461519116023,10.292452545144519,1.2528937553153288,3.142155157686493,0.9861514682787264,20114351.431063842,20.671902660628664,2026-09-02T14:00:20.966653+00:00,397748064.0,591703.0,0.296,,,-456.25,,,Real Estate,Real Estate Services,9.677080264479578,9.66597461966086,9.328760267695959,9.653689255422686,6.330751469175731,88.4446842120455,0.7200000000000001,86.0679921576735,0.76,88.35534019734011,0.7,0.669,88.4446842120455,leadership_momentum,False,69.18133510461641,86.78859415305767,False,False,False,True,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED
ECO,Okeanis Eco Tankers Corp. Common Stock,N,N,67.79010009765625,0.08847304795052513,0.22015298011030615,0.5457820501490218,0.7196807357631685,-0.0024999851251502614,1.8859471652519044,0.08114160358383748,0.2191158996023883,0.9264973411344272,34012608.948833466,0.5162294527440169,2026-09-02T14:09:02.288522+00:00,2637076224.0,487642.0,2.394,6.063,7.566,11.389545,0.11045306485045892,,Industrials,Marine Shipping,0.5630639240352991,0.3780315233561864,0.22994783096906324,0.5119710173051868,0.5691825340061967,86.89452503228904,0.9700000000000001,74.1819934768143,1.0000000000000002,84.95320751610139,1.0,0.95625,86.89452503228904,leadership_momentum,False,45.85519760876785,86.62642733572906,False,False,False,True,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED
QNST,"QuinStreet, Inc. - Common Stock",N,N,18.809999465942383,-0.044207359031625204,0.21590168980359437,0.5860033735626837,0.5443348928283067,-0.1457766087688489,0.7812498786458513,-0.058982475410402135,0.07500453904956816,1.0394269013960884,23607808.747707557,0.8798895145609626,2026-09-02T14:00:07.056956+00:00,1081216640.0,843641.0,0.427,5.592,4.961,10.128343,0.18268215417106637,,Communication Services,Advertising Agencies,0.5486403511195649,0.432867588257717,0.22569654066235145,0.5521923407188487,0.3938366910713349,86.67605417826913,0.9700000000000001,78.26328661025984,1.0000000000000002,78.49819451619878,1.0,0.95625,86.67605417826913,leadership_momentum,False,53.096147459315844,86.3070427519855,False,False,False,True,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED
FWDI,"Forward Industries, Inc. - Common Stock",N,N,5.880000114440918,-0.008431655201533661,0.39007094277243937,0.4168674648958812,0.25641032694830024,-0.8492307662963867,0.6610169993795729,0.1482132610936988,0.28992631190131424,1.648006797082585,9483193.66466322,0.9513061412926319,2026-09-02T13:54:31.075412+00:00,440496640.0,1469685.0,3.321,,,30.589745,0.31321542330259855,1.0,Consumer Cyclical,Footwear & Accessories,0.40827716206740994,0.49234753287174704,0.39986579363119645,0.3830564320520462,0.10591212519132842,83.18511411506196,0.8300000000000002,88.19714760208768,0.8300000000000001,85.5840866980403,0.77,0.802,88.19714760208768,beaten_down_reversal,False,73.86416472932581,86.21380042414572,False,False,False,True,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED
EXK,Endeavour Silver Corporation Ordinary Shares (Canada),N,N,10.869999885559082,-0.0018365892684232277,0.21316962491968017,0.3519900419320161,0.008348808424607057,-0.23016997353688828,0.8486394003399818,0.03632375345406902,0.20791197673601003,1.2023520069069649,91548283.2032042,0.7264678213708782,2026-09-02T14:09:46.685890+00:00,3227974656.0,7492701.0,1.394,,,9.23948,0.4220183486238531,1.25,Basic Materials,Silver,0.28198440925054835,0.0,0.22296447577843725,0.3181790090881811,-0.14214939333236476,84.85822673018271,0.8300000000000002,82.49137281710179,0.8300000000000001,86.11958082200915,0.77,0.802,86.11958082200915,acceleration_emerging_momentum,False,55.47658585187645,85.4118364386645,False,False,False,True,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED
PURR,Hyperliquid Strategies Inc - Common Stock,N,N,11.234999656677246,-0.028114251828913805,0.6473606120071929,0.25952909872004515,1.0882898545894868,-0.12431802622864552,2.6241935491313795,0.21689679717169885,0.39651953139101925,2.0447515560608247,223861696.0207285,1.0873288319505425,2026-09-02T13:59:59.265140+00:00,2231608064.0,15750757.0,,,,38.23729,0.28102836879432624,1.33333,Financial Services,Capital Markets,0.1871857257212155,0.19264427678732443,0.65715546286595,0.22571806587621013,0.937791652832515,81.53885740989419,0.7200000000000001,78.85298374046715,0.7300000000000002,87.50314709302658,0.6700000000000002,0.6932500000000001,87.50314709302658,acceleration_emerging_momentum,False,53.892394553304555,85.35380961437322,False,False,False,True,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED
PRE,Prenetics Global Limited - Class A Ordinary Share,N,N,26.68000030517578,0.0349107678261813,0.4452871954699744,0.334000015258789,0.2839268250035223,0.0,2.330836397354286,0.24277995848371603,0.3407102638899857,1.6851239357455,6120939.894818115,0.8267790017958883,2026-09-02T13:59:46.058308+00:00,441297056.0,232963.0,2.107,,,-9.831776,0.337135741444867,1.0,Consumer Defensive,Packaged Foods,0.29417815173561146,0.21059577617239444,0.4550820463287315,0.30018898241495395,0.13342862324655047,83.63612738907155,0.7900000000000001,71.42163958133726,0.8,86.84169101740699,0.74,0.7825,86.84169101740699,acceleration_emerging_momentum,False,59.36731982729989,85.12273574232418,False,False,False,True,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED
PR,Permian Resources Corporation Class A Common Stock,N,N,23.649999618530273,0.03956042279253946,0.1950479294811125,0.21755584869932343,0.2612501739387296,-0.009216640677344512,1.0109622108465914,0.05417991884426976,0.1357414969131827,0.9803449498318463,212391345.59188288,0.3555387238235786,2026-09-02T14:16:08.899437+00:00,19879417856.0,10036023.0,0.551,2.329,2.826,10.817844,0.10429871497788068,1.33333,Energy,Oil & Gas E&P,0.1451421270363984,0.132027837430865,0.20484278033986958,0.1837448158554884,0.11075197218175781,81.74285569647924,1.0000000000000002,72.89806609497786,1.0000000000000002,84.99075049682331,1.0,1.0,84.99075049682331,acceleration_emerging_momentum,False,30.71404848887413,85.12096320991431,False,False,False,True,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED
HTFL,"Heartflow, Inc. - Common Stock",N,N,50.59000015258789,0.03371478488310409,0.8619801255255826,0.7782073390482727,1.433381333562325,0.0,1.4690093078428146,0.19965379567603714,0.5166823143549713,0.9477893107827906,96920031.90680695,0.9668325846381883,2026-09-02T13:55:20.282244+00:00,4468111872.0,1816839.0,0.476,,,-194.44865,-0.15344945022866596,1.44444,Healthcare,Health Information Services,0.5647571055892833,0.4732811929055236,0.8717749763843397,0.7443963062044376,1.2828831318053533,86.65781891953698,0.7900000000000001,70.11753417164688,0.8,86.66516301159848,0.74,0.7825,86.66516301159848,acceleration_emerging_momentum,False,49.549983394221194,85.08280322486581,False,False,False,True,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED
INBX,"Inhibrx Biosciences, Inc. - Common Stock",N,N,125.24500274658203,-0.0007578872992185515,0.4929670241723303,0.40519473360332814,0.8072871173330367,-0.11699798378291038,3.7199925934349256,0.1863046336414116,0.3027572977908459,1.015635326849282,29839988.17422104,0.6259089470603028,2026-09-02T13:55:43.092112+00:00,1834409088.0,301560.0,,,,-14.22831,1.139495025673941,1.5,Healthcare,Biotechnology,0.19174450014433875,0.1350952930233562,0.5027618750310874,0.3713837007594931,0.6567889155760649,83.82597435721259,0.68,77.70766563593129,0.7000000000000002,87.08197383596209,0.6400000000000001,0.6737500000000001,87.08197383596209,acceleration_emerging_momentum,False,55.385254068415804,84.94466720671792,True,False,True,True,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED
SM,SM Energy Company Common Stock,N,N,38.02000045776367,0.07522623873013745,0.31013093928440116,0.17454438406896577,0.5024124531801684,-0.0005257743765065825,1.1974125262268918,0.09165041320264677,0.20123348114062,0.864067516749797,130166668.29675579,0.5631188593429374,2026-09-02T14:17:35.964312+00:00,9081268224.0,3817952.0,1.761,1.539,4.302,5.098321,0.07735280251440546,1.66667,Energy,Oil & Gas E&P,0.10213066240604074,0.08901637280050734,0.31992579014315825,0.14073335122513075,0.35191425142319654,79.39893463746822,1.0000000000000002,72.60840411236964,1.0000000000000002,84.93972790439287,1.0,1.0,84.93972790439287,acceleration_emerging_momentum,False,41.50946529392228,84.92161992754849,False,False,False,True,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED
CAI,"Caris Life Sciences, Inc. - Common Stock",N,N,24.8799991607666,-0.07233409978121674,0.512461884914879,0.5415117782918664,0.40644422892280097,-0.32391305226684763,0.7099655556437494,0.03699070283100947,0.2622137106950422,1.2909844488798792,132400342.91671276,0.7344231976018726,2026-09-02T13:51:20.839892+00:00,7186396160.0,4163895.0,0.454,,,67.29828,0.06173810460086515,1.53846,Healthcare,Biotechnology,0.328061544832877,0.27141233771189444,0.5222567357736361,0.5077007454480313,0.25594602716582915,82.92598618824158,0.8300000000000002,82.82411574119912,0.8300000000000001,85.4719847021109,0.77,0.802,85.4719847021109,acceleration_emerging_momentum,False,55.17436067751577,84.79131372447628,True,False,True,True,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED
IAG,Iamgold Corporation Ordinary Shares,N,N,20.184999465942383,-0.0629062856078243,0.2702957224556928,0.2939101905355652,-0.05589334619886721,-0.17846969000189106,1.1337208651741428,0.03188699322695121,0.1954892715657941,0.8865969792125528,115249805.894672,0.6478387017598003,2026-09-02T14:11:46.165369+00:00,11599864832.0,5700484.0,0.475,1.914,1.929,8.514571,0.16498498646320447,1.76923,Basic Materials,Gold,0.22390455785409746,0.06855833028414426,0.28009057331444986,0.2600991576917302,-0.20639154795583903,81.9969771723385,1.0000000000000002,79.591813635124,1.0000000000000002,83.90064284468764,1.0,1.0,83.90064284468764,acceleration_emerging_momentum,False,50.778811026237136,84.65484815264473,False,False,False,True,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED
